GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2021,N2O,Industry,,,15.458023471702544
2021,N2O,Public,Hospital,Old,1.7127408461488214
2021,N2O,Public,Municipality,Old,1.521227787424532
2021,N2O,Public,Post-Secondary Institution,Old,2.67970827059138
2021,N2O,Public,School board,Old,2.885740488904313
2021,N2O,Residential,Apartments,Old,33.69161208139423
2021,N2O,Residential,Single Attached,Old,15.446747712627614
2021,N2O,Residential,Single Detached,Old,34.02317547354704
2022,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8653528534328407
2022,CH4,Commercial,Accommodation and Food Services,Old,2.168717844488241
2022,CH4,Commercial,Educational Services,Old,5.42825351960963
2022,CH4,Commercial,Health Care and Social Assistance,Old,3.4835580799916066
2022,CH4,Commercial,Information and Cultural Industries,Old,0.2797209891229262
2022,CH4,Commercial,Offices,Old,18.926079380329323
2022,CH4,Commercial,Other Services,Old,2.2814465079492465
2022,CH4,Commercial,Retail Trade,Old,6.905770043828931
2022,CH4,Commercial,Transportation and Warehousing,Old,1.2328838707881273
2022,CH4,Commercial,Wholesale Trade,Old,4.317034287073628
2022,CH4,Industry,,,16.427126175036747
2022,CH4,Public,Hospital,Old,1.7720985279419752
2022,CH4,Public,Municipality,Old,1.6280520988970153
2022,CH4,Public,Post-Secondary Institution,Old,2.8218772946228765
2022,CH4,Public,School board,Old,3.0717782962066664
2022,CH4,Residential,Apartments,Old,609.6990220398058
2022,CH4,Residential,Single Attached,Old,189.0368968675959
2022,CH4,Residential,Single Detached,Old,372.59776965275967
2022,CO2,Commercial,"Arts, Entertainment and Recreation",Old,94269.22496375549
2022,CO2,Commercial,Accommodation and Food Services,Old,109741.00322401174
2022,CO2,Commercial,Educational Services,Old,279004.0830943335
2022,CO2,Commercial,Health Care and Social Assistance,Old,177425.8689980807
